[22/06 11:29:03] Captura (PowerShell) reaberta.
[22/06 11:34:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:34:03] Captura (PowerShell) reaberta.
[22/06 11:39:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:39:03] Captura (PowerShell) reaberta.
[22/06 11:44:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:44:03] Captura (PowerShell) reaberta.
[22/06 11:49:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:49:04] Captura (PowerShell) reaberta.
[22/06 11:54:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:54:03] Captura (PowerShell) reaberta.
[22/06 11:59:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 11:59:03] Captura (PowerShell) reaberta.
[22/06 12:04:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:04:03] Captura (PowerShell) reaberta.
[22/06 12:09:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:09:03] Captura (PowerShell) reaberta.
[22/06 12:14:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:14:03] Captura (PowerShell) reaberta.
[22/06 12:19:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:19:03] Captura (PowerShell) reaberta.
[22/06 12:24:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:24:03] Captura (PowerShell) reaberta.
[22/06 12:29:04] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:29:04] Captura (PowerShell) reaberta.
[22/06 12:34:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:34:03] Captura (PowerShell) reaberta.
[22/06 12:39:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:39:03] Captura (PowerShell) reaberta.
[22/06 12:44:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:44:03] Captura (PowerShell) reaberta.
[22/06 12:49:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:49:03] Captura (PowerShell) reaberta.
[22/06 12:54:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:54:03] Captura (PowerShell) reaberta.
[22/06 12:59:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 12:59:03] Captura (PowerShell) reaberta.
[22/06 13:04:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:04:03] Captura (PowerShell) reaberta.
[22/06 13:09:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:09:03] Captura (PowerShell) reaberta.
[22/06 13:14:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:14:03] Captura (PowerShell) reaberta.
[22/06 13:19:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:19:03] Captura (PowerShell) reaberta.
[22/06 13:24:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:24:03] Captura (PowerShell) reaberta.
[22/06 13:29:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:29:03] Captura (PowerShell) reaberta.
[22/06 13:34:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:34:03] Captura (PowerShell) reaberta.
[22/06 13:39:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:39:03] Captura (PowerShell) reaberta.
[22/06 13:44:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:44:03] Captura (PowerShell) reaberta.
[22/06 13:49:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:49:04] Captura (PowerShell) reaberta.
[22/06 13:54:03] Captura parada. Reabrindo a versao PowerShell...
[22/06 13:54:03] Captura (PowerShell) reaberta.
