[18/06 14:20:01] Captura (PowerShell) reaberta.
[18/06 14:25:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:25:01] Captura (PowerShell) reaberta.
[18/06 14:30:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:30:01] Captura (PowerShell) reaberta.
[18/06 14:35:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:35:01] Captura (PowerShell) reaberta.
[18/06 14:40:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:40:01] Captura (PowerShell) reaberta.
[18/06 14:45:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:45:01] Captura (PowerShell) reaberta.
[18/06 14:50:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:50:01] Captura (PowerShell) reaberta.
[18/06 14:55:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 14:55:01] Captura (PowerShell) reaberta.
[18/06 15:00:02] Captura parada. Reabrindo a versao PowerShell...
[18/06 15:00:02] Captura (PowerShell) reaberta.
[18/06 15:05:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 15:05:01] Captura (PowerShell) reaberta.
[18/06 15:10:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 15:10:01] Captura (PowerShell) reaberta.
[18/06 15:15:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 15:15:01] Captura (PowerShell) reaberta.
[18/06 15:20:01] Captura parada. Reabrindo a versao PowerShell...
[18/06 15:20:01] Captura (PowerShell) reaberta.
[18/06 15:25:01] Captura parada. Reabrindo a versao PowerShell...
